date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
1941-01-01,3.0,0.866,-1.6839999,-0.70066667,0.0,0.0,0.0,0.0
1941-01-02,2.0,-1.184,-3.534,-2.3965,0.0,0.0,0.0,0.0
1941-01-03,3.0,-0.684,-2.7340002,-1.7360835,0.0,0.0,0.0,0.0
1941-01-04,3.0,-0.934,-2.434,-1.74025,0.0,0.0,0.0,0.0
1941-01-05,71.0,0.116,-2.4840002,-1.2569166,0.4,0.0,0.28,4.0
1941-01-06,71.0,-0.03399998,-2.334,-0.98399997,0.8000001,0.0,0.56,8.0
1941-01-07,3.0,-0.334,-2.934,-1.9715,0.0,0.0,0.0,0.0
1941-01-08,71.0,2.066,-2.2340002,0.10975001,0.3,0.1,0.14,3.0
1941-01-09,3.0,0.866,-2.1339998,-0.30275,0.0,0.0,0.0,0.0
1941-01-10,3.0,1.266,-2.784,-0.87149996,0.0,0.0,0.0,0.0
1941-01-11,51.0,4.066,0.066000015,2.0972497,0.1,0.1,0.0,1.0
1941-01-12,3.0,0.966,-0.98399997,0.001416667,0.0,0.0,0.0,0.0
1941-01-13,51.0,2.566,-2.534,0.50558335,0.3,0.3,0.0,3.0
1941-01-14,71.0,1.916,-2.334,0.69933337,0.5,0.0,0.35,5.0
1941-01-15,73.0,-0.78400004,-4.234,-2.384,3.4,0.0,2.38,18.0
1941-01-16,3.0,-1.384,-6.684,-4.042333,0.0,0.0,0.0,0.0
1941-01-17,73.0,-1.384,-6.584,-3.6173332,1.4000001,0.0,0.98,8.0
1941-01-18,73.0,3.666,-1.7340001,1.666,5.3999996,3.2999997,1.4700001,13.0
1941-01-19,73.0,4.116,0.666,2.438917,5.0,4.4999995,0.35000002,12.0
1941-01-20,75.0,5.266,-0.18400002,2.643083,12.500001,4.3999996,5.6699996,13.0
1941-01-21,55.0,6.716,5.416,5.8868346,9.1,9.1,0.0,19.0
1941-01-22,51.0,7.8659997,4.366,6.7805843,1.5000001,1.5000001,0.0,8.0
1941-01-23,51.0,6.666,0.46600002,4.8535004,0.90000004,0.90000004,0.0,6.0
1941-01-24,55.0,4.8659997,0.066000015,2.7035,4.2,4.2,0.0,7.0
1941-01-25,53.0,4.566,3.1160002,3.7410002,6.2999997,6.2999997,0.0,21.0
1941-01-26,51.0,4.116,0.716,2.6722498,3.0000002,3.0000002,0.0,15.0
1941-01-27,55.0,5.916,0.46600002,2.3139167,6.1,6.1,0.0,11.0
1941-01-28,55.0,5.916,3.1160002,4.816,6.9999995,6.9999995,0.0,18.0
1941-01-29,3.0,3.966,0.066000015,2.3139167,0.0,0.0,0.0,0.0
1941-01-30,61.0,4.216,1.416,2.9243333,4.8,4.8,0.0,13.0
1941-01-31,53.0,4.916,1.666,3.795167,5.2999988,5.2999988,0.0,21.0
1941-02-01,71.0,5.466,0.616,2.5035,1.3000001,0.8,0.35,8.0
1941-02-02,3.0,3.916,-1.034,1.351417,0.0,0.0,0.0,0.0
1941-02-03,71.0,0.416,-2.184,-0.8485832,0.70000005,0.2,0.35,7.0
1941-02-04,3.0,0.46600002,-3.834,-1.1069168,0.0,0.0,0.0,0.0
1941-02-05,73.0,1.316,-4.434,-1.3381668,0.8,0.0,0.56000006,5.0
1941-02-06,73.0,4.516,-0.18400002,1.6889166,4.8999996,0.70000005,2.9399998,12.0
1941-02-07,51.0,7.966,-0.23399997,5.2514167,1.3000001,1.3000001,0.0,9.0
1941-02-08,3.0,10.016001,7.1159997,8.499333,0.0,0.0,0.0,0.0
1941-02-09,3.0,11.516001,8.516001,9.949334,0.0,0.0,0.0,0.0
1941-02-10,3.0,8.266,2.8660002,5.49725,0.0,0.0,0.0,0.0
1941-02-11,3.0,8.066,1.2160001,4.580583,0.0,0.0,0.0,0.0
1941-02-12,51.0,10.166,3.916,6.186834,0.4,0.4,0.0,3.0
1941-02-13,51.0,9.416,4.016,6.5514164,0.90000004,0.90000004,0.0,4.0
1941-02-14,53.0,8.616,5.016,6.7722507,2.2,2.2,0.0,6.0
1941-02-15,51.0,8.566,3.566,6.1118336,0.1,0.1,0.0,1.0
1941-02-16,61.0,8.916,3.416,6.136833,5.0,5.0,0.0,13.0
1941-02-17,55.0,9.716001,5.766,7.5785003,6.2999997,6.2999997,0.0,16.0
1941-02-18,53.0,7.8659997,4.116,6.045166,3.4000003,3.4000003,0.0,16.0
1941-02-19,51.0,5.3659997,1.3659999,3.4472501,0.70000005,0.70000005,0.0,7.0
1941-02-20,71.0,3.3660002,0.916,1.9993335,2.4,1.1000001,0.90999997,16.0
1941-02-21,51.0,4.316,-1.834,0.8514166,0.2,0.2,0.0,2.0
1941-02-22,51.0,5.166,-0.78400004,1.7785,0.70000005,0.70000005,0.0,6.0
1941-02-23,51.0,7.666,-1.034,2.7472498,0.4,0.4,0.0,4.0
1941-02-24,73.0,4.566,-1.534,1.5368334,3.1,1.7000003,0.97999996,17.0
1941-02-25,51.0,3.966,-0.18400002,2.0597498,0.3,0.3,0.0,3.0
1941-02-26,73.0,3.466,-1.9840001,1.2930833,0.5,0.099999994,0.28,1.0
1941-02-27,61.0,11.716001,3.416,7.811833,4.9,4.9,0.0,12.0
1941-02-28,51.0,12.216001,5.716,9.991,0.8,0.8,0.0,4.0
1941-03-01,55.0,10.616,5.6159997,8.157666,3.1,3.1,0.0,9.0
1941-03-02,53.0,10.416,4.216,8.57225,2.2,2.2,0.0,10.0
1941-03-03,51.0,9.666,4.266,6.9285007,1.1,1.1,0.0,4.0
1941-03-04,51.0,6.8659997,2.966,5.030584,1.5,1.5,0.0,10.0
1941-03-05,51.0,6.816,0.916,3.5597498,0.2,0.2,0.0,2.0
1941-03-06,53.0,6.516,2.5159998,4.9493337,6.4,6.4,0.0,24.0
1941-03-07,61.0,7.166,2.666,4.876417,7.1,7.1,0.0,21.0
1941-03-08,53.0,9.116,4.316,7.0639167,1.5,1.5,0.0,4.0
1941-03-09,3.0,10.166,2.816,6.3535004,0.0,0.0,0.0,0.0
1941-03-10,51.0,9.566,2.266,5.757667,0.8000001,0.8000001,0.0,6.0
1941-03-11,3.0,9.866,2.466,5.7659993,0.0,0.0,0.0,0.0
1941-03-12,3.0,5.416,3.2659998,4.145167,0.0,0.0,0.0,0.0
1941-03-13,0.0,8.566,1.666,5.038917,0.0,0.0,0.0,0.0
1941-03-14,2.0,11.666,2.1160002,5.999333,0.0,0.0,0.0,0.0
1941-03-15,3.0,12.316,1.066,6.1076665,0.0,0.0,0.0,0.0
1941-03-16,2.0,12.266001,1.1159999,5.745167,0.0,0.0,0.0,0.0
1941-03-17,3.0,4.016,-0.28399998,1.9493333,0.0,0.0,0.0,0.0
1941-03-18,1.0,9.916,0.416,4.4889164,0.0,0.0,0.0,0.0
